number,company_id
2 22416XXX,2
2 22417XXX,2
2 22418XXX,2
2 22419XXX,2
2 22420XXX,2
2 22421XXX,2
2 22422XXX,2
2 22423XXX,2
2 22424XXX,2
2 22425XXX,2
2 22426XXX,2
2 22427XXX,2
2 22428XXX,2
2 22429XXX,2
2 22430XXX,2
2 22431XXX,2
2 22432XXX,2
2 22433XXX,2
2 22434XXX,2
2 22435XXX,2
2 22436XXX,2
2 22437XXX,2
2 22438XXX,2
2 22439XXX,2
2 22440XXX,2
2 22441XXX,2
2 22442XXX,2
2 22443XXX,2
2 22444XXX,2
2 22445XXX,2
2 22446XXX,2
2 22447XXX,2
2 22448XXX,2
2 22449XXX,2
2 22450XXX,2
2 22451XXX,2
2 22452XXX,2
2 22453XXX,2
2 22454XXX,2
2 22455XXX,2
2 22456XXX,2
2 22457XXX,2
2 22458XXX,2
2 22459XXX,2
2 22460XXX,2
2 22461XXX,2
2 22462XXX,2
2 22463XXX,2
2 22464XXX,2
2 22465XXX,2
2 22466XXX,2
2 22467XXX,2
2 22468XXX,2
2 22469XXX,2
2 22470XXX,2
2 22471XXX,2
2 22472XXX,2
2 22473XXX,2
2 22474XXX,2
2 22475XXX,2
2 22476XXX,2
2 22477XXX,2
2 22478XXX,2
2 22479XXX,2
2 22480XXX,2
2 22481XXX,2
2 22482XXX,2
2 22483XXX,2
2 22484XXX,2
2 22485XXX,2
2 22486XXX,2
2 22487XXX,2
2 22488XXX,2
2 22489XXX,2
2 22490XXX,2
2 22491XXX,2
2 22492XXX,2
2 22493XXX,2
2 22494XXX,2
2 22495XXX,2
2 22496XXX,2
2 22497XXX,2
2 22498XXX,2
2 22499XXX,2
2 22500XXX,3
2 22501XXX,3
2 22502XXX,3
2 22503XXX,3
2 22504XXX,3
2 22505XXX,3
2 22506XXX,3
2 22507XXX,3
2 22508XXX,3
2 22509XXX,3
2 22510XXX,3
2 22511XXX,3
2 22512XXX,3
2 22513XXX,3
2 22514XXX,3
2 22515XXX,3
2 22516XXX,3
2 22517XXX,3
2 22518XXX,3
2 22519XXX,3
2 22520XXX,3
2 22521XXX,3
2 22522XXX,3
2 22523XXX,3
2 22524XXX,3
2 22525XXX,3
2 22526XXX,3
2 22527XXX,3
2 22528XXX,3
2 22529XXX,3
2 22530XXX,3
2 22531XXX,3
2 22532XXX,3
2 22533XXX,3
2 22534XXX,3
2 22535XXX,3
2 22536XXX,3
2 22537XXX,3
2 22538XXX,3
2 22539XXX,3
